,sds_regione,anno,previsione_consumi
0,ABRUZZO,2024,6011.2
1,ABRUZZO,2025,6055.1
2,ABRUZZO,2026,5967.7
3,ABRUZZO,2027,6236.5
4,ABRUZZO,2028,5905.5
5,ABRUZZO,2029,6392.1
6,BASILICATA,2024,2485.9
7,BASILICATA,2025,2758.0
8,BASILICATA,2026,2564.4
9,BASILICATA,2027,2874.2
10,BASILICATA,2028,2546.8
11,BASILICATA,2029,2793.3
12,CALABRIA,2024,5213.4
13,CALABRIA,2025,4962.0
14,CALABRIA,2026,5147.1
15,CALABRIA,2027,5134.4
16,CALABRIA,2028,4817.5
17,CALABRIA,2029,4941.1
18,CAMPANIA,2024,17393.8
19,CAMPANIA,2025,15436.1
20,CAMPANIA,2026,15134.8
21,CAMPANIA,2027,18700.3
22,CAMPANIA,2028,18298.2
23,CAMPANIA,2029,11997.7
24,EMILIA ROMAGNA,2024,27257.5
25,EMILIA ROMAGNA,2025,25730.5
26,EMILIA ROMAGNA,2026,28042.9
27,EMILIA ROMAGNA,2027,28231.7
28,EMILIA ROMAGNA,2028,26828.2
29,EMILIA ROMAGNA,2029,27337.2
30,FRIULI,2024,10126.5
31,FRIULI,2025,9449.9
32,FRIULI,2026,9604.3
33,FRIULI,2027,9935.8
34,FRIULI,2028,10419.3
35,FRIULI,2029,10313.7
36,LAZIO,2024,20915.8
37,LAZIO,2025,21019.4
38,LAZIO,2026,20962.3
39,LAZIO,2027,21025.4
40,LAZIO,2028,20312.9
41,LAZIO,2029,21039.3
42,LIGURIA,2024,5876.2
43,LIGURIA,2025,5651.2
44,LIGURIA,2026,5939.5
45,LIGURIA,2027,5930.5
46,LIGURIA,2028,5720.0
47,LIGURIA,2029,5885.0
48,LOMBARDIA,2024,65109.5
49,LOMBARDIA,2025,61581.0
50,LOMBARDIA,2026,66423.7
51,LOMBARDIA,2027,67572.4
52,LOMBARDIA,2028,64221.9
53,LOMBARDIA,2029,65394.0
54,MARCHE,2024,6805.7
55,MARCHE,2025,6759.7
56,MARCHE,2026,6668.1
57,MARCHE,2027,6703.0
58,MARCHE,2028,6511.2
59,MARCHE,2029,6958.5
60,MOLISE,2024,1304.9
61,MOLISE,2025,1318.5
62,MOLISE,2026,1353.1
63,MOLISE,2027,1334.1
64,MOLISE,2028,1320.5
65,MOLISE,2029,1317.6
66,PIEMONTE,2024,23407.4
67,PIEMONTE,2025,22824.2
68,PIEMONTE,2026,23681.8
69,PIEMONTE,2027,23943.3
70,PIEMONTE,2028,22120.6
71,PIEMONTE,2029,24451.5
72,PUGLIA,2024,17480.3
73,PUGLIA,2025,16426.6
74,PUGLIA,2026,15717.3
75,PUGLIA,2027,16515.7
76,PUGLIA,2028,17236.5
77,PUGLIA,2029,16601.8
78,SARDEGNA,2024,7686.1
79,SARDEGNA,2025,7633.5
80,SARDEGNA,2026,8049.8
81,SARDEGNA,2027,8043.6
82,SARDEGNA,2028,8095.6
83,SARDEGNA,2029,7764.3
84,SICILIA,2024,17244.5
85,SICILIA,2025,16896.7
86,SICILIA,2026,17147.6
87,SICILIA,2027,16966.4
88,SICILIA,2028,16843.4
89,SICILIA,2029,16814.1
90,TOSCANA,2024,20124.8
91,TOSCANA,2025,20375.5
92,TOSCANA,2026,18590.3
93,TOSCANA,2027,15143.9
94,TOSCANA,2028,15479.0
95,TOSCANA,2029,22000.3
96,TRENTINO ALTO ADIGE,2024,6150.1
97,TRENTINO ALTO ADIGE,2025,5938.5
98,TRENTINO ALTO ADIGE,2026,6722.3
99,TRENTINO ALTO ADIGE,2027,6782.5
100,TRENTINO ALTO ADIGE,2028,6179.6
101,TRENTINO ALTO ADIGE,2029,6779.4
102,UMBRIA,2024,4961.9
103,UMBRIA,2025,4932.7
104,UMBRIA,2026,5100.9
105,UMBRIA,2027,5258.2
106,UMBRIA,2028,4979.6
107,UMBRIA,2029,5281.2
108,VALLE D AOSTA,2024,1063.9
109,VALLE D AOSTA,2025,1104.0
110,VALLE D AOSTA,2026,1127.5
111,VALLE D AOSTA,2027,1054.6
112,VALLE D AOSTA,2028,941.9
113,VALLE D AOSTA,2029,914.4
114,VENETO,2024,24964.4
115,VENETO,2025,33378.7
116,VENETO,2026,26443.5
117,VENETO,2027,37676.0
118,VENETO,2028,21958.4
119,VENETO,2029,39948.3
