,sds_regione,anno,previsione_consumi_gas
0,ABRUZZO,2024,698.0
1,ABRUZZO,2025,705.9
2,ABRUZZO,2026,689.2
3,ABRUZZO,2027,718.5
4,ABRUZZO,2028,677.1
5,ABRUZZO,2029,739.8
6,BASILICATA,2024,216.4
7,BASILICATA,2025,214.0
8,BASILICATA,2026,207.9
9,BASILICATA,2027,217.9
10,BASILICATA,2028,212.1
11,BASILICATA,2029,215.1
12,CALABRIA,2024,311.6
13,CALABRIA,2025,301.5
14,CALABRIA,2026,301.3
15,CALABRIA,2027,310.9
16,CALABRIA,2028,310.8
17,CALABRIA,2029,308.9
18,CAMPANIA,2024,1095.8
19,CAMPANIA,2025,1173.8
20,CAMPANIA,2026,1150.0
21,CAMPANIA,2027,1209.6
22,CAMPANIA,2028,1185.9
23,CAMPANIA,2029,1214.1
24,EMILIA ROMAGNA,2024,4198.0
25,EMILIA ROMAGNA,2025,3953.7
26,EMILIA ROMAGNA,2026,4216.8
27,EMILIA ROMAGNA,2027,4277.3
28,EMILIA ROMAGNA,2028,4099.9
29,EMILIA ROMAGNA,2029,4300.0
30,FRIULI,2024,851.5
31,FRIULI,2025,806.1
32,FRIULI,2026,852.4
33,FRIULI,2027,893.1
34,FRIULI,2028,863.1
35,FRIULI,2029,870.0
36,LAZIO,2024,2118.3
37,LAZIO,2025,2104.5
38,LAZIO,2026,2095.0
39,LAZIO,2027,2168.6
40,LAZIO,2028,2090.2
41,LAZIO,2029,2175.8
42,LIGURIA,2024,904.1
43,LIGURIA,2025,868.3
44,LIGURIA,2026,893.0
45,LIGURIA,2027,898.1
46,LIGURIA,2028,872.7
47,LIGURIA,2029,924.6
48,LOMBARDIA,2024,8596.6
49,LOMBARDIA,2025,8064.5
50,LOMBARDIA,2026,8541.8
51,LOMBARDIA,2027,8921.5
52,LOMBARDIA,2028,8401.4
53,LOMBARDIA,2029,8786.1
54,MARCHE,2024,869.4
55,MARCHE,2025,860.2
56,MARCHE,2026,864.7
57,MARCHE,2027,894.6
58,MARCHE,2028,858.1
59,MARCHE,2029,913.5
60,MOLISE,2024,147.3
61,MOLISE,2025,144.7
62,MOLISE,2026,148.4
63,MOLISE,2027,148.1
64,MOLISE,2028,146.3
65,MOLISE,2029,146.3
66,PIEMONTE,2024,3679.8
67,PIEMONTE,2025,3420.9
68,PIEMONTE,2026,3556.0
69,PIEMONTE,2027,3565.4
70,PIEMONTE,2028,3341.1
71,PIEMONTE,2029,3683.2
72,PUGLIA,2024,1144.7
73,PUGLIA,2025,1085.7
74,PUGLIA,2026,1192.5
75,PUGLIA,2027,1208.4
76,PUGLIA,2028,1045.8
77,PUGLIA,2029,1203.3
78,SARDEGNA,2024,0.0
79,SARDEGNA,2025,0.0
80,SARDEGNA,2026,0.0
81,SARDEGNA,2027,0.0
82,SARDEGNA,2028,0.0
83,SARDEGNA,2029,0.0
84,SICILIA,2024,697.0
85,SICILIA,2025,726.4
86,SICILIA,2026,717.0
87,SICILIA,2027,732.5
88,SICILIA,2028,730.9
89,SICILIA,2029,724.3
90,TOSCANA,2024,2181.7
91,TOSCANA,2025,2122.6
92,TOSCANA,2026,2256.0
93,TOSCANA,2027,2292.4
94,TOSCANA,2028,2222.8
95,TOSCANA,2029,2229.5
96,TRENTINO ALTO ADIGE,2024,673.5
97,TRENTINO ALTO ADIGE,2025,638.5
98,TRENTINO ALTO ADIGE,2026,676.2
99,TRENTINO ALTO ADIGE,2027,718.6
100,TRENTINO ALTO ADIGE,2028,672.8
101,TRENTINO ALTO ADIGE,2029,753.6
102,UMBRIA,2024,484.6
103,UMBRIA,2025,480.3
104,UMBRIA,2026,488.8
105,UMBRIA,2027,512.4
106,UMBRIA,2028,484.2
107,UMBRIA,2029,522.9
108,VALLE D AOSTA,2024,47.9
109,VALLE D AOSTA,2025,48.1
110,VALLE D AOSTA,2026,45.7
111,VALLE D AOSTA,2027,44.4
112,VALLE D AOSTA,2028,42.9
113,VALLE D AOSTA,2029,40.6
114,VENETO,2024,3611.1
115,VENETO,2025,4145.4
116,VENETO,2026,3988.7
117,VENETO,2027,4384.7
118,VENETO,2028,4005.9
119,VENETO,2029,4099.6
